crm_cd,crm_cd_desc,FBI_Category
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
210,ROBBERY,Robbery
624,BATTERY - SIMPLE ASSAULT,
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
510,VEHICLE - STOLEN,Motor Vehicle Theft
761,BRANDISH WEAPON,
210,ROBBERY,Robbery
624,BATTERY - SIMPLE ASSAULT,
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Theft
900,VIOLATION OF COURT ORDER,
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
946,OTHER MISCELLANEOUS CRIME,
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),
510,VEHICLE - STOLEN,Motor Vehicle Theft
624,BATTERY - SIMPLE ASSAULT,
888,TRESPASSING,
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
440,THEFT PLAIN - PETTY ($950 & UNDER),Personal/Other Theft
310,BURGLARY,Burglary
624,BATTERY - SIMPLE ASSAULT,
310,BURGLARY,Burglary
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
626,INTIMATE PARTNER - SIMPLE ASSAULT,
626,INTIMATE PARTNER - SIMPLE ASSAULT,
440,THEFT PLAIN - PETTY ($950 & UNDER),Personal/Other Theft
121,"RAPE, FORCIBLE","Rape (121, 122)"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
210,ROBBERY,Robbery
626,INTIMATE PARTNER - SIMPLE ASSAULT,
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,Aggravated Assault
624,BATTERY - SIMPLE ASSAULT,
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
626,INTIMATE PARTNER - SIMPLE ASSAULT,
440,THEFT PLAIN - PETTY ($950 & UNDER),Personal/Other Theft
860,BATTERY WITH SEXUAL CONTACT,
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
888,TRESPASSING,
210,ROBBERY,Robbery
330,BURGLARY FROM VEHICLE,BTFV
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),BTFV
330,BURGLARY FROM VEHICLE,BTFV
626,INTIMATE PARTNER - SIMPLE ASSAULT,
330,BURGLARY FROM VEHICLE,BTFV
330,BURGLARY FROM VEHICLE,BTFV
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
624,BATTERY - SIMPLE ASSAULT,
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
510,VEHICLE - STOLEN,Motor Vehicle Theft
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
946,OTHER MISCELLANEOUS CRIME,
510,VEHICLE - STOLEN,Motor Vehicle Theft
624,BATTERY - SIMPLE ASSAULT,
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),BTFV
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
901,VIOLATION OF RESTRAINING ORDER,
626,INTIMATE PARTNER - SIMPLE ASSAULT,
210,ROBBERY,Robbery
210,ROBBERY,Robbery
624,BATTERY - SIMPLE ASSAULT,
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
330,BURGLARY FROM VEHICLE,BTFV
624,BATTERY - SIMPLE ASSAULT,
210,ROBBERY,Robbery
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Theft
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
210,ROBBERY,Robbery
761,BRANDISH WEAPON,
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
624,BATTERY - SIMPLE ASSAULT,
440,THEFT PLAIN - PETTY ($950 & UNDER),Personal/Other Theft
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),Personal/Other Theft
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
624,BATTERY - SIMPLE ASSAULT,
626,INTIMATE PARTNER - SIMPLE ASSAULT,
440,THEFT PLAIN - PETTY ($950 & UNDER),Personal/Other Theft
510,VEHICLE - STOLEN,Motor Vehicle Theft
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Aggravated Assault
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",
510,VEHICLE - STOLEN,Motor Vehicle Theft
626,INTIMATE PARTNER - SIMPLE ASSAULT,
330,BURGLARY FROM VEHICLE,BTFV
